id	regeste	first_ent	first_ent_label
1464_XI_03	Abt Martin zu Gotweig schreibt dem edeln Assem Gasner zu Sirhennfeld, dass sein Lesemeister, welchen er diese Jahre zur Fechsung des Weinzehentes nach Zeisselperg geschickt hatte, auf sein Befragen über den demselben in diesem und in dem vergangenen Jahre zugefügten Schaden erklärt habe, dass ihm dessen Anwalt auf seine Zehentforderung erwidert habe, er hätte von seinem Herrn keinen Befehl, wolle aber heimkehren und es seinem Herrn berichten. Hierauf wären zwei von dessen Dienstleuten dahin gekommen, welche sich mit ihm auf einen Ueberschlag von 4 Eimer Most oder 7 ß. d. einigten und sich erboten, das Geld zu schicken. Darauf sei aber einer von dessen Dienstleuten der Bischolff hingekommen, welcher bloss 3 ß. 18 d. für den Zehent zahlen wollte und, als dies nicht angenommen wurde, die zu Zeisselperg hinterlegten 4 Eimer Most als Zehent erklärte. Betreffs des vergangenen Jahres habe sein Lesemeister erklärt, dass demselben in seiner Abwesenheit ein Fässchen Most ohne seinen Auftrag nicht bloss wegen des Zehentes, sondern wegen der Gasthausschuld beschlagnahmt worden sei, was ausser anderen Leuten auch der Wirt, bei welchem dessen Wein in diesen Jahren eingelagert war, wisse. Sei er damit nicht zufriedengestellt, so wolle er auf dem Rechtswege sich verantworten oder an einem festgesetzten Tage zu einem Ausgleiche mit seinem Lesemeister und seinen Leuten, die dabei waren, nach Stain kommen.Datum: Geben zw Gotweig an sambcztag nach allerheilingtag (1464).	Martin zu Gotweig	PER
1464_XI_11.1	Abt Mertt zu Goettweig dankt dem edeln Herrn Albrecht von Ebersdorf für die gnädige Förderung seines Verwandten Mert Hawg, dessen Dienstmannes, bei dessen Verheiratung und empfiehlt denselben und dessen Frau seinem ferneren Wohlwollen.Datum: Geben zu Goettweig an sannd Merttentag (1464).	Mertt	PER
1464_XI_17.1	Abt Mert zu Gottweig entschuldigt sich bei dem edeln Herrn Pangrecz von Planchkenstain, dass er zu der behufs des Güterkaufes im Offenpach von seinem Cellerar und Hauptmann auf morgen zu Melchk festgesetzten Verhandlung, wobei er persönlich anwesend sein sollte, wegen einer Krankheit nicht kommen könne, weshalb er die Geistlichen und Edlen, den Prior Erhart, den Cellerar Simon und seine Dienstleute Jeronimus von Rorbach und Wolfganng Kchoell mit der Vollmacht zum Abschlüsse des-selben dahin sende.Datum: Geben zw Goettweig an sambcztag nach sannd Merttentag (1464).	Mert	PER
1464_XI_14	Abt Thomas von Lambach theilt Abt Martin von Göttweig mit, dass er den von Frater Erhard überbrachten Contractentwurf unter der Form eines Wiederkaufvertrages acceptiere, so zwar, dass dem Stifte das Recht bleibe, die verkauften Lehen und Zinse innerhalb 16 oder 20 Jahren zurückzukaufen. Falls der Wiederkauf in dieser Zeit nicht geschieht, ist der Contract zu verlängern. Ferner verlangt er von letzterem, ihm alle auf den Contract bezüglichen Urkunden originaliter oder vidimiert, besonders die Urkunden über die Vogtei zu übersenden.Datum: Ex Lambach XIIII. novembris (1464).	Thomas von Lambach	PER
1464_XII_14	Abt Martin von Göttweig erklärt dem Ulrich Zeller, dass seine Unterthanen zu Minichhoffen und Fraundorf die auf sie veranschlagte Steuer nicht zu zahlen vermögen.	Martin von Göttweig	PER
1464_XII_16	Abt Mert zu Göttweig quittiert Anna, der Witwe nach Hanns dem Achssen seinem Amtmanne im Oeffenpach, sowie dessen Erben den Empfang aller im Jahre 1462 in diesem Amte fälligen Gülten.Siegler: Abt Mert mit seinem aufgedrückten Siegel.Datum: Geben zu Gott(weig) an suntag vor sand Thomanstag des heiligen zwelfpotten (1464).	Mert zu Göttweig	PER
1464_XII_20.1	Abt Mert zu Gott(weig) löst die dem edlen Panngratz von Planchkenstain verkauften Erbholden (nr. 1655) vom Eide der Treue und weist sie an, dieselbe bis auf Wiederkauf dem neuen Herrn zu bewähren.Datum: Geben zu Goett(weig) an sand Thomans des heiligen zwelfpotten abent (1464).	Mert	PER
1464_XII_20	Abt Gert von Gottweig verpflichtet sich, dem edeln Herrn Pangrecz von Planckchenstain über den Verkauf (nr. 1655) von Bischof Vlreich zu Passaw, sobald er in das Land unter der Enns kommt, eine Bestätigungsurkunde zu erwirken und zu übergeben.Siegler: Abt Mert von Gottweig mit dem aufgedrückten Siegel.Datum: Geben zu Gott(weig) an sand Thomansabent des heiligen [zwelfpotten 1464].a	Gert von Gottweig	PER
1465.5	Abt Martin von Göttweig beklagt sich bei Bischof Ulrich von Passau über die traurige finanzielle Lage seines Stiftes.	Martin von Göttweig	PER
1465_VIII_24-28	Abt Martin ersucht Hanns von Siebenhirten um Verwendung bei Zdenko von Sternberg und beim Kaiser gegen die ungerechte Absage des Wolfgang Schremel an die Stiftsunterthanen zu Mauer und Ursprung.	Martin	PER
1465_III_08-22	Abt Martin von Göttweig ersucht Kaiser Friedrich III., den resignierten Abt Wolfgang mit seiner Beschwerde abzuweisen.	Martin von Göttweig	PER
1465.2	Abt Martin von Göttweig schreibt einem unbekannten Adressaten, dass er, nachdem demselben die durch ihn und den Senior des Stiftes Bruder Wolfgang übermittelte Quittung nicht genügte und derselbe seinem Professen Andre1 eine Note mit dem Bedeuten, dieselbe als Urkunde mit seinem und des Conventes Siegel auszufertigen, übersendete, bevor er die Lade mit den Kleinoden ausliefern könne, dieselbe unter Angabe aller einzelnen Stücke ausfertigen werde.	Martin von Göttweig	PER
1465_III_29	Abt Martin von Göttweig erstattet Kaiser Friedrich III. Bericht über die trostlose wirtschaftliche Lage des Stiftes und beweist ihm die Unmöglichkeit, den verlangten Vogthafer zu liefern.	Martin von Göttweig	PER
1465_II_12	Abt Martin von Göttweig ersucht Bischof Ulrich von Passau um Rath und Hilfe gegen die Anschläge der Feinde auf das Stift.	Martin von Göttweig	PER
1465_II_26	Abt Martin von Göttweig fordert die Holden am linken Ufer der Donau auf, je den sechsten Mann zum Feldzug nach Ybbs auszulosen und für je zehn einen bespannten Wagen bereitzustellen.	Martin von Göttweig	PER
1465_III_05.1	Abt Martin von Göttweig ersucht den Stefan Eitzinger, zu gestatten, dass er die von ihm gevogten Unterthanen der Stiftsherrschaft Ranna zum Heeresdienste auffordere.	Martin von Göttweig	PER
1465_III_05	Abt Martin von Gottweig berichtet dem edlen Degenhart Schernegker, dass der Prugkner jetzt nicht zu Hause ist, wenn aber derselbe heimkomme, so wolle er ihm dessen Schreiben übermitteln und ihn veranlassen, sich mit dem Nikokasch wegen dessen Forderung auszugleichen.Datum: Geben zu Gottweig am erichtag nach invocavit (1465).	Martin von Gottweig	PER
1465_III_07	Abt Martin von Göttweig ersucht den Wilhelm Leuprechtinger, er möge seinem Sohne dem Mermosser die stiftlichen Amtleute empfehlen.	Martin von Göttweig	PER
1465_III_09	Abt Martin von Göttweig ersucht Hanns von Siebenhirten um Fürsprache bei Kaiser Friedrich III. behufs Nachlasses der dem Stifte auferlegten Landsteuer.	Martin von Göttweig	PER
1465_III_09.1	Abt Martin von Göttweig ersucht Georg von Wolkersdorf, dahin zu wirken, dass die stiftlichen Untervögte die den von ihnen bevogteten Stiftsunterthanen aufgelegte Steuer als Steuer des Abtes an ihn abführen.	Martin von Göttweig	PER
1465_III_15	Abt Martin von Göttweig verspricht den Dienstleuten des Wilhelm von Pucheim, auf die Freilassung desselben nach Kräften hinzuwirken.	Martin von Göttweig	PER
1465_III_16	Abt Martin von Göttweig verlangt von Stefan von Höhenberg die Freilassung des gefangen gehaltenen Stiftsholden in Altenwörth namens Jakob Salzer.	Martin von Göttweig	PER
1465_III_22	Abt Martin von Göttweig ersucht Hanns von Siebenhirten, den kaiserlichen Küchenmeister, um Auskunft in der Angelegenheit des resignierten Abtes Wolfgang.	Martin von Göttweig	PER
1465_III_23	Abt Mert zum Gottweig benachrichtigt den edlen Jorig Schechk zum Achstain, dass er seinem Wunsche, die Verpfändung des Zehentes zu Pueterspach und Umgebung bis zu den künftigen Pfingsten zu verschieben, nicht entsprechen könne, da seine Gläu-biger auf seine diesbezügliche Bitte erklärten, sie wollten nur mehr bis acht Tage nach Ostern (April 21) warten, wo er dann 200 Gulden und 200 lb. d. haben müsse, widrigenfalls dieselben schon bei dem Verzuge eines Tages das Geld nicht mehr annehmen, sondern sich von den verpfändeten Gütern schadlos halten werden. Er ersucht denselben, ihm deshalb die Verpfändung desselben nicht übelzunehmen, da er am liebsten ihm denselben verpfänden möchte, wenn er bis acht Tage nach Ostern obige Geldsumme zusammenbringe.Datum: Geben zw Gottweig am sambstag vor letare (1465).	Mert	PER
1465_III_31	Abt Martin von Gottweig ersucht den Caspar Krafft, aus dessen Schreiben er nicht ersehen habe, unter welchen Bedin-gungen der Rachlinger ein Darlehen gewähren wolle, mit demselben geheim darüber zu verhandeln, ob derselbe ein solches als Satz auf Holden und liegende Güter auf Wiederkauf gewähren wolle, und es ihm auf seine Kosten durch dessen Boten innerhalb der nächsten zehn Tage wissen zu lassen, da er sich darauf verlasse.Datum: Geben zw Gottweig am suntag iudica (1465).	Martin von Gottweig	PER
1465_IV_01	Abt Mert zu Gottweig ersucht den edlen [Wolfgang] Winklaer, den Pfleger des Bischofes von Passaw zu Greiffenstain, auf ein gütliches Abkommen mit dem Frêll in dessen Forderungen an das Stift hinzuwirken, welches er gerne annehmen werde.Datum: Geben zw Gottweig am montag nach iudica (1465).	Mert	PER
1465_IV_05	Abt Martin von Gotweyg ersucht den edeln Herrn [Stefan von Eitzing], welcher als Vogt seiner Armenleute zu Raenna und Kotas eine Steuer auf sie veranschlagt hat, welche dieselben in dieser kurzen Frist nicht zu zahlen vermögen, da sie infolge ihrer grossen Armuth auch ihm die Gülten und Renten nicht zu zahlen vermögen und der grössere Theil derselben nicht einmal Brot zu essen hat, ihnen den Steueranschlag zu verringern und den Zahlungstermin bis zum Herbste zu erstrecken, damit sie unterdessen ihre Ernte einbringen können.Datum: Gotweyg an freytag nach Ambrosy.	Martin von Gotweyg	PER
1465_IV_23	Abt Martin von Göttweig ernennt den Martin Pruckner zum Göttweiger Hofrichter mit der Amtsdauer eines Jahres.	Martin von Göttweig	PER
1465_V_21	Abt Martin von Göttweig beschwert sich bei Georg von Pottendorf über die Vergewaltigung der Stiftsunterthanen in Hollenburg seitens der Dienstleute desselben.	Martin von Göttweig	PER
1465_VI_06	Abt Martin und der Convent von Göttweig empfehlen einem ungenannten Adressaten den Franz Schustel, dessen Leben, Ausbildung und Ehrbarkeit sie erprobt haben, und welcher in den Orden und das Kloster desselben einzutreten wünsche, auf dessen Bitten zur Aufnahme, damit dessen löblicher Vorsatz nicht zunichte werde.Datum: Ex monasterio Gottwicensi sexta die mensis iunii (1465).	Martin	PER
1465_VIII_10	Abt Martin von Göttweig schreibt Erasmus Malzkasten, dass er den Wilhelm von Pucheim um die Freilassung seiner Dienstleute und Zurückstellung der weggenommenen Pferde und der Geräthschaft ersucht habe.	Martin von Göttweig	PER
1465_VIII_15	Abt Martin von Göttweig schreibt seinen Holden zu Vrsprung und Maur, dass er sich wegen des Briefes des Schrêmel (nr. 1692) bei seinen Amtleuten erkundigt und erfahren habe, dass weder er noch seine Anwälte und Holden eine demselben gehörige Urkunde besitzen. Deshalb schreibe er auch demselben und lege ihnen eine Abschrift dieses Briefes verschlossen bei mit dem Auftrage, ihn demselben durch ihren Boten zuzustellen und ihm dessen Antwort zugleich mit der Angabe der Stadt seines Aufenthaltes bekanntzugeben. Auch sollen sie dem Vogte oder dessen Anwalte seinen Brief übermitteln und sich nach dessen Rath verhalten.Datum: Geben zu Gottweig an unser lieben frawntag [ders schidung]1 (1465).	Martin von Göttweig	PER
1465_VIII_15.1	Abt Martin von Gotweig versichert Wolfgang Schrêmel auf dessen Brief (nr. 1692), dass er weder in seinem noch seiner Anwälte und Unterthanen zu Vrsprung und Maur Besitze eine Urkunde wisse, die ihm vorenthalten werde oder zur Zeit seiner Prälatur von ihm oder den Seinigen gefordert wurde. Wenn er aber einen seiner Anwälte oder der Seinigen namentlich namhaft mache, welcher dieselbe habe, so wolle er denselben auf sein Verlangen verhören und ihm zu seinem Rechte verhelfen.Datum: Geben zu Gotweig an unser lieben frawn tag der schidung (1465).	Martin von Gotweig	PER
1465_VIII_21	Abt Martin von Göttweig ersucht Georg Wissinger, Burggraf zu Soos, für die Leute des Stiftes zur Reise nach Melk freies Geleite zu erwirken und selbst zum Teiding am festgesetzten Tage zu kommen.	Martin von Göttweig	PER
1465_VIII_24	Abt Martin von Göttweig ersucht Bischof Ulrich von Passau um Rath, wie er sich gegenüber den Anforderungen des Waczla an die Unterthanen des Stiftes und das Stift selbst verhalten solle.	Martin von Göttweig	PER
1465_VIII_28	Abt Martin von Göttweig ersucht Hanns von Siebenhirten um Verwendung bei Zdenko von Sternberg und dem Kaiser gegen die Forderungen des Wolfgang Schremel.	Martin von Göttweig	PER
1465_IX_07	Abt Martin von Göttweig empfiehlt Abt Johann von Melk den Magister in artibus Konrad Althaimer, welcher laut päpstlicher Urkunde eine Expectanz auf ein dessen Verleihungsrechte zustehendes kirchliches Beneficium mit oder ohne Seelsorge, wie sie Säcularclerikern verliehen zu werden pflegen, besitzt und sich jetzt wegen der Unsicherheit im Lande bei ihm in Göttweig aufhält, und dessen gesetzmässige Vertreter zu diesem Behufe gnädig aufzunehmen.Datum: Ex monasterio Gottwicensi in vigilia nativitatis virginis Marie gloriose (1465).	Martin von Göttweig	PER
1465_XII_12	Abt Johann von Melk, Abt Martin von Göttweig und andere unterschreiben das Gesuch um die Canonisation des Herzoges Leopold [III. des Heiligen].	Johann von Melk	PER
1466_IV_24.1	Abt Martin von Göttweig schreibt einem ungenannten Adressaten wegen dessen Hofzinsforderung von 11½ lb. d. an seinen Vorgänger [Abt Wolfgang II.], dass derselbe auf sein Befragen erklärt habe, er habe an dessen Bestandhaus 3½ lb. d. verbaut, weshalb er ihm nur mehr 6½ lb. an Hofzins schulde. Er habe ihm deshalb 3½ lb. d. schuldigen Hofzins des Sigmund in des Ghrankar Hause zugesprochen, welche er von demselben einfordern solle. Betreffs des Restbetrages solle er bis zu seiner oder seines Cellerars Hinabkunft warten.Datum: Geben zu Gottweig an sannd Jorigentag (1466).	Martin von Göttweig	PER
1466_VII_12	Abt Martin, Prior Erhard und der Konvent von Göttweig verzichten auf das Drittel der Opfer in der Kapelle zum hl. Wolfgang in Foerhenfeldt innerhalb der Grenzen der Pfarre St. Veit a. d. Gölsen, derentwegen im Jahre 1441 ein Streit zwischen den Stiftern Göttweig und Lilienfeld ausbrach, welcher durch Schiedspruch des Abtes Heinrich von Heiligenkreuz und des Propstes Kaspar von St. Pölten beigelegt wurde (vgl. Fuchs in Fontes LII nr. 1273), in Anbetracht des Umstandes, daß dadurch der Gottesdienst zum schweren Ärgernisse des Volkes vielfach Schaden litt, unter einzigem Vorbehalt der pfarrlichen Rechte für die Pfarre St. Veit.Siegler: die Urkundenaussteller.Datum in nostro monasterio Gottwicensi (1466) die vero duodecima mensis julii.	Martin	PER
1467.3	Abt Martin von Göttweig schreibt dem edeln Herrn Jorg,1 dass er gemäss der mit demselben von dem Prior Erhart früher gepflogenen Verhandlungen bereit sei, ihm den Zehent auf Lebenszeit zu verpachten, wenn er ihm jetzt 300 Gulden leihe, von welchen dann der Pachtschilling jährlich abzuziehen sei. Er hoffe, dass derselbe sein Angebot nicht ablehne, da ihm doch sein verstorbener Grossvater und Vater noch mehr darauf geliehen haben, welches alles auf diese Weise jährlich abgezahlt wurde.Datum und Unterschrift fehlen.	Martin von Göttweig	PER
1467.2	Abt Martin von Göttweig schreibt dem edlen Herrn Sigmund [von Schaunburg], dass er von dem Sachverhalte (nr. 1726) nichts wisse, nichtsdestoweniger aber wolle er seinen Hintersassen den Gremer zu Kaynndorf vorladen und, falls er schuldig ist, auch zur Zahlung an dessen Hintersassen verhalten. Datum und Unterschrift fehlen.	Martin von Göttweig	PER
1467_VI_09.1	Abt Martin von Göttweig bittet Kaiser Friedrich III. um Entschuldigung wegen der Nichtbezahlung des Steueranschlages und Nichtlieferung des Vogthafers in Anbetracht der traurigen finanziellen Lage seines Stiftes.	Martin von Göttweig	PER
1467.1	Abt Martin von Göttweig ersucht den edeln Herrn [Stefan Eitzinger], seinen Holden und dessen Vogtholden Stefan Hesiber, welcher wegen einer ungerechten Beschuldigung verhaftet wurde, freizulassen und ihn für den angethanen Schimpf zu entschädigen. Datum und Unterschrift fehlen.	Martin von Göttweig	PER
1467_IV_15	Abt Martin von Göttweig schreibt dem edlen Joerg [Rosenhart], dass er zu Kornneunburg 10 lb. d. gezahlt habe, wozu ihm der dortige Richter 4 ungarische Gulden geliehen habe, während der verstorbene Herr Erhart Dossl das übrige bis auf eine beiderseitige Verrechnung ausstehen liess, welche sie wegen Pfenninggülten, die derselbe 14 Jahre nicht gezahlt hatte, haben sollten. Da nun dessen Bruder das Schloss und die Herrschaft Smida besitze, so wird sich dies in seiner Verrechnung mit demselben schon zeigen, und was er noch darüber schulde, wolle er ihm gerne bezahlen.Datum an mittichen nach sannd Tyburczntag (1467).	Martin von Göttweig	PER
1467_IV_18	Abt Mert und der Convent von Gotweig verlassen dem edlen Joring Schekch vom Wald, welcher ihnen in der Nothlage des Stiftes 200 ungarische Goldgulden geliehen hat, hiefür auf Lebenszeit zu Bestand die Zehente zu Hessndorf, auf den zwei Nunenhoeffen,1 auf dem Alberhof2 und Swaighof3 und zu Pertoltsstorf,4 zu Hintperig,5 zu Wulffungrewet, zu Gantzpach, auf sieben Burgrechtsäckern auf der Oed,6 auf sechs Ueberlentäckern in der Swaikchwiss und auf zwei Krautgärten, zu Putterspach, zu Hag, zu Hintteren Aichberg,7 zu Pimershoffen, zu dem Graben und in der Vinkenpewnt,8 ferner den halben Zehent zu Frawn Manen, zu Oberen Aichperig, auf den Reweten, alles in der Gaenntspacher Pfarre, und den halben Zehent zu den Lehnn in der Jeroltinger Pfarre. Sie nehmen nur den Flachszehent und den Zehent des Pfarrers zu Gaenczpach auf den behausten Gütern in dem Markte daselbst, deren Lehensherr derselbe ist, sammt den dazugehörigen Feldern sowie den daranstossenden dem Pfarrer gehörigen Zehent auf der Aw davon aus. Der Beliehene hat jährlich von den Zehenten einen Geldzins, welcher bis zum künftigen sannd Gillgentag zu vereinbaren ist, an diesem Tage an sie zu zahlen. Kommt keine Vereinbarung zustande, so haben sie ihm die 200 Goldgulden in den nächsten 13 Wochen zu Achstain zu zahlen, worauf ihnen die Zehente wieder ledig werden, während sie im Falle einer Vereinbarung dieselben innerhalb zwei Jahren zu zahlen haben.Siegler: Abt Mert und der Convent von Gotweig mit den aufgedrückten Siegeln.Datum: Geben zu Gottweych an sambstag vor sannd Joergentag (1467).	Mert	PER
1468_VII_12	Abt Laurencius und der Convent zu Gottweig verpachten den erberen Wolfganng Greynner und Bertholme Prugknhofer, Bürger zu Haynfelld, den grossen Getreidezehent des Stiftes zu Haynfelld von jetzt an auf 12 Jahre zu einem Jahreszinse von 125 lb. d. und 3 Eimer Schmalz, welcher mit 65 lb. d. und 3 Eimer Schmalz an sannd Kathreintag und 60 lb. d. an sannd Jorgentag zu zahlen ist. Letztere haben die Pflicht, die stiftlichen Zehentrechte zu wahren und alle drei Jahre ein Zehentregister mit specificierter Angabe der Gründe, deren Besitzer und der Höhe des Zehentes, ferner nach Ablauf der 12 Jahre ein solches nach Gottweig zu überantworten. Falls einer mit dem andern über den Zehent in Streit kommt, ist er dem andern mit seinem Theile verfallen. Falls einer vor Ablauf der Zeit stirbt und seine Erben den Zehentantheil nicht innehaben wollen, so können sie die ihnen zukommende Hälfte mit des Stiftes Bewilligung dem anderen Theile, wenn er den Zins ganz leisten kann, überlassen.Siegler: Abt Lorenz und Convent zu Gottweig.Datum 1468 in die Margarethe.	Laurencius	PER
1468_XII_21	Die Aebte Lorenz von Göttweig, Mathias von den Schotten in Wien und die Dechante Thomas von St. Pölten und Leonhard von Dürnstein stellen das Visitationsinstrument über die von ihnen im Stifte St. Andrä an der Traisen vorgenommene Visitation aus.	Aebte Lorenz von Göttweig	LOC
1469_III_15	Abt Loerencz und der Convent zu Goettweig beurkunden, dass der verstorbene Abt Mertt und der Convent dem edln Joerg Schekh von Wald für ein Darlehen von 200 ungarischen Goldgulden Zehente (nr. 1721) auf Lebenszeit verliehen haben. Da aber derselbe den Schuldbrief dem edln Hanns Eysenhuet für Sold und Schaden und dieser ihn wieder dem edln Vlrich Freiherrn zu Grafenegk, dem obersten kaiserlichen Feldhauptmanne in Osterreich, übergeben hat, so vergleichen sie sich mit demselben wegen der Schuld und Zehente dahin, dass er die Zehente von den vergangenen Weihnachten 14691 bis Ende 1474 durch volle sechs Jahre ohne Zins innehaben soll, worauf sie dem Stifte wieder ledig werden.Siegler: Abt Loerencz und der Convent zu Goettweig.Datum: Gebn an mittichen vor dem suntag, als man singet iudica (1469).	Loerencz	PER
1469_VIII_26	Abt Lorenz von Göttweig öffnet den Urtheilspruch über strittige Grundstücke.	Lorenz von Göttweig	PER
1469_XI_06	Abt Lorenz zu Gotweig und der edle Jorg Hackkinger einigen sich wegen des verpachteten Zehentes in den Pfarren Chulb, Bischolfstetten und Sannd Margrethen, von welchem letzterer für den in den Kriegsläuften erlittenen Schaden Ersatz beansprucht, sowie wegen 20 Gulden, welche er seinem Vorgänger vorgestreckt hatte, und welche ihm an den Zehentzinsen noch nicht abgezogen wurden, dahin, dass der Abt auf alle Forderungen bis jetzt, auch auf den noch ausständigen, am vergangenen sannd Michelstage fälligen Zins per 35 lb. d. verzichtet, während letzterer sich aller Forderungen bis jetzt begibt.Siegler: Abt Lorenz von Gotweig mit dem rückwärts aufgedrückten Siegel.Datum: Geben zu Wienn an sand Leonhartstage (1469).	Lorenz zu Gotweig	PER
1469_XII_02	Abt Larenncz zu Gottweig verringert auf Bitten des Bürgermeisters und Rathes der Städte Krembs und Stain dem erbern Jorg Baurnritter, Bürger zu Krembs, welcher vom Stifte 3 Joch Weingärten in der Pottendorfferin zu einem Jalireszinse von 15 Eimer Most zu Lehen hat, den Zins auf jährliche 6 Eimer Most in den Hof zu Stain durch acht Jahre, da ihm in den vergangenen Jahren die Frucht durch Hagel und Ungewitter vernichtet wurde und auch der Bau desselben Schaden gelitten hat. Dafür hat derselbe den Weingarten wieder in guten Bau zu bringen und nach acht Jahren den vollen Zins zu leisten.Siegler: Abt Larenncz mit seiner aufgedrückten Petschaft.Datum: Gebn zu Gottweig an sambstag nach Andree apostoli (1469).	Larenncz	PER
1469_XII_06	Abt Larenncz und der Convent zu Gotweig beurkunden, dass sie Petter [Uberakcher], dem Dechante zu Maeuttarn und Pfarrer zu Aczpach, oder dem Besitzer dieses Schuldbriefes 208 ungarische Goldgulden und 36 rheinische Gulden, welche er ihnen in der Nothlage des Stiftes geliehen hat, am nächsten sannd Jorgenntage zu zahlen haben.Siegler: Abt Larenncz und der Convent zu Gotweig.Datum: Geben (1469) an sannd Niclastag.	Larenncz	PER
1469_XII_08	Abt Lorenz, Prior Andreas und der Convent zu Göttweig nehmen Abt Johann und den Convent zu Melk in ihre Gebetsverbrüderung auf und verpflichten sich, nach Einlangen der Todesnachricht eines Professen derselben dessen Namen in das Todtenbuch einzutragen und die Vigilien und ein Requiem nach der Sitte ihres Stiftes für ihn abzuhalten, während die einzelnen Priester je eine Messe, die Cleriker das ganze Officium defunctorum, die Nonnen nach ihrer Gewohnheit das Placebo und die Vigilien und die Conversen beider Geschlechter, 100 Paternoster und Ave Maria für ihn zu beten haben.Siegler: Abt Lorenz und der Convent von Göttweig.Datum in dicto monasterio nostro Gotuicensi die octava mensis decembris (1469).	Convent zu Göttweig	ORG
1469_XII_08.1	Abt Lorenz, Prior Andreas und der Convent zu Göttweig schliessen mit Abt Johann und dem Convente von Klein-Mariazell einen Conföderationsvertrag (nr. 1757).Siegler: Abt Lorenz und der Convent von Göttweig.Datum in dicto monasterio nostro Gotuicensi die octava mensis decembris (1469).	Convent zu Göttweig	ORG
1469_XII_09	Abt Laurentius, Prior Andreas und der Convent von Göttweig schliessen mit Abt Mathias und dem Convente des Stiftes Schotten zu Wien einen Conföderationsvertrag und verpflichten sich, jeden verstorbenen Professen desselben in das Nekrolog einzutragen und für denselben die Vigilien und ein Requiem nach der Sitte ihres Klosters abzuhalten, während jeder Priester eine heil. Messe zu lesen, die nicht geweihten Cleriker das ganze Officium defunctorum und die Conversen 100 Paternoster und Ave Maria für denselben zu beten haben.Siegler: (I.) Abt Laurentius und (II.) der Convent zu Göttweig.Datum in dicto monasterio nostro Gotuicensi die nona mensis decembris (1469).	Convent von Göttweig	ORG
1469_XII_18	Abt Lorenz, Prior Andreas und der Convent verleihen dem Herrn Konrad Coci die ihrem Stifte pleno iure incorporierte Pfarre St Veit an der Golsen, welche sie auf Grund ihrer Privilegien durch einen Stiftsprofessen verwesen lassen konnten, welche sie aber zu Gunsten der regulären Disciplin mit einem Weltpriester besetzen. Derselbe hat sie in temporalibus et spiritualibus sammt der Seelsorge zu verwesen, anständige Priester zu bestellen, das Kirchenvermögen sammt dem Wein- und Ackerbaue sorgfältig zu verwalten und die Reparaturen an den Baulichkeiten zu besorgen, wofür ihm die täglichen Einkünfte der Kirche oblaciones baptismales confessionales et omnia iura parrochialia und der Jahreszins von den zum dortigen Officium des Stiftes zinsbaren Unterthanen zugewiesen werden, während sie sich den ganzen grossen und kleinen Zehent vorbehalten. Jede vom Passauer Bischofe oder vom Landesfürsten unter dessen Zustimmung der Kirche auferlegte Steuer verpflichten sie sich selbst zu leisten, während er die auf seine Person oder sein Einkommen gelegte Steuer zu zahlen hat. Im Falle der Unzulänglichkeit seiner Dotation verpflichten sie sich ihm zu einem Zuschusse von ihrem Zehente, wogegen er nichts zum Schaden der Kirche und ihrer Privilegien unternehmen darf. Vernachlässigt er irgendwie seine Pflichten, so kann er ohne jedweden Process abgesetzt werden.Siegler: Abt Lorenz und der Convent von Göttweig.Datum in prefato nostro monasterio Gotuicensi [die] decima octava mensis decembris (1469).	Convent	ORG
1470_I_20	Abt Mathias, Prior Franz und der Convent des Stiftes Schotten in Wien nehmen Abt Lorenz, Andreas den Prior und den Convent von Göttweig in ihre Gebetsverbrüderung auf und verpflichten sich, den Namen eines verstorbenen Professen derselben in ihr Todtenbuch einzutragen und für ihn die Vigilien und ein Requiem nach der Sitte ihres Stiftes öffentlich zu halten, während die Priester je eine Messe zu lesen, die Cleriker das ganze Officium defunctorum und die Conversen 100 Paternoster und Ave Maria zu beten haben.Siegler: (I.) Abt Mathias und (II.) der Convent der Schotten.Datum in supranominato monasterio nostro Scotorum die vigesima mensis ianuarii (1470).	Mathias	PER
1470_I_24	Abt Johann, Leonhard Prior und der Convent zu Klein- Mariazell nehmen Abt Lorenz und den Mönchs- und Nonnenconvent von Göttweig in ihre Gebetsverbrüderung auf und verpflichten sich, den Namen eines verstorbenen Mönches oder einer Nonne derselben in ihr Todtenbuch einzutragen und für sie die Vigilien und ein Requiem nach der Sitte ihres Klosters zu halten, während die Priester je eine Messe zu lesen, die Cleriker das ganze Todtenofficium und die Conversen 100 Paternoster und Ave Maria zu beten haben.Siegler: (I.) Abt Johann und (II.) der Convent von Klein- Mariazell.Datum in dicto nostro monasterio Cellemarie vicesima quarta die mensis ianuarii (1470).	Johann	PER
1470_II_04	Abt Larenntz zu Gotticeig verringert dem Wolffganng Reithofer, welcher vom Stifte drei behauste Lehen und zwei Gärtlein bei Gentzpach zu einem Zinse von 11 ß 21 d an sand Michelstag zu Lehen hat, die aber fast verödet sind, auf acht Jahre den Zins auf 6 ß d, wofür er sie zu Feld und Dorf stiftlich und baulich zu legen hat. Nach Ablauf der acht Jahre ist wieder der frühere Zins zu entrichten.Siegler: der Urkundenaussteller mit der Petschaft.Datum: Geben zu zu Gotweig an suntag unser lieben frawntag der liechtmess (1470).	Larenntz	PER
